diputadoID,nombre,distrito
242,"BROMBERG, Isaac Benjamín",Tucumán
243,"BROOK, Mario Carlos",Córdoba
244,"BROWN, Carlos Ramón",Buenos Aires
245,"BRUE, Daniel Agustín",Santiago del Estero
246,"BRÜGGE, Juan Fernando",Córdoba
247,"BRUNATI, Luis Pedro",Buenos Aires
248,"BRUNELLI, Naldo Raul Adalberto",Buenos Aires
249,"BRUZZO, Omar Obdulio",Buenos Aires
250,"BUCCO, Jorge Luis",Córdoba
251,"BUIL, Sergio Omar",Buenos Aires
252,"BULACIO, Nancy Evangelina",Tucumán
253,"BULACIO, Rafael Alfredo",Tucumán
254,"BULLRICH, Esteban",Cdad.Aut.Bs.As.
255,"BULLRICH, Patricia",Cdad.Aut.Bs.As.
256,"BURGOS, María Gabriela",Jujuy
257,"BURYAILE, Ricardo",Formosa
258,"BURZACO, Eugenio",Buenos Aires
259,"BUSSI, Antonio Domingo",Tucumán
260,"BUSSI, Ricardo Argentino",Tucumán
261,"BUSTI, Jorge Pedro",Entre Ríos
262,"CABALLERO MARTIN, Carlos Aurelio",Santa Fe
263,"CABANDIE, Juan",Cdad.Aut.Bs.As.
264,"CABIRON, Juan Carlos",Buenos Aires
265,"CABRERA, Gerardo",Santa Fe
266,"CACERES, Eduardo",San Juan
267,"CACERES, Gladys Antonia",La Rioja
268,"CACERES, Jorge Marcelo",Córdoba
269,"CAFFERATA NORES, José Ignacio",Córdoba
270,"CAFIERO, Juan Pablo",Buenos Aires
271,"CAFIERO, Mario Alejandro",Buenos Aires
272,"CAILLET, Carmen del Rosario",San Juan
273,"CAIMMI, Fernando Enrique",Santa Fe
274,"CALCAGNO, Eric",Buenos Aires
275,"CALCHAQUI, Mariel",Tierra del Fuego
276,"CALLABA, Anibal",Corrientes
277,"CALLEJAS, Ovidio Amilcar",Santa Fe
278,"CALLERI, Agustin Santiago",Córdoba
279,"CALVO, Pedro Jorge Camilo",Cdad.Aut.Bs.As.
280,"CALZA, Nelio Higinio",Entre Ríos
281,"CAMAÑO, Dante",Buenos Aires
282,"CAMAÑO, Eduardo Oscar",Buenos Aires
283,"CAMAÑO, Graciela",Buenos Aires
284,"CAMARA, Mario Miguel",Buenos Aires
285,"CAMBARERI, Fortunato Rafael",Chubut
286,"CAMPERO, Rodolfo Martín",Tucumán
287,"CANATA, José Domingo",Cdad.Aut.Bs.As.
288,"CANELA, Susana Mercedes",Salta
289,"CANEVAROLO, Dante Omar",Santa Cruz
290,"CANO, José",Tucumán
291,"CANTERO GUTIERREZ, Alberto",Córdoba
292,"CANTERO, Fernando Alfredo",Cdad.Aut.Bs.As.
293,"CANTEROS, Gustavo Jesús Adolfo",Corrientes
294,"CANTINI, Guillermo Marcelo",Cdad.Aut.Bs.As.
295,"CANTOS, José María",Santiago del Estero
296,"CAPELLO, Mario Osvaldo",San Juan
297,"CAPPELLERI, Pascual",Buenos Aires
298,"CAPUTO, Dante Mario",Cdad.Aut.Bs.As.
299,"CARBAJAL, Arnoldo Dante",Formosa
300,"CARBONETTO, Daniel",Buenos Aires
301,"CARCA, Elisa Beatriz",Buenos Aires
302,"CARDELLI, Jorge Justo",Cdad.Aut.Bs.As.
303,"CARDESA, Enrique Gustavo",Buenos Aires
304,"CARDOSO, Marta Elena",La Pampa
305,"CARLOTTO, Remo Gerardo",Buenos Aires
306,"CARMONA, Guillermo Ramón",Mendoza
307,"CARMONA, María Araceli",Corrientes
308,"CAROL, Analuz Ailén",Tierra del Fuego
309,"CARRANZA, Carlos Alberto",Santa Fe
310,"CARRARA, Emilio Eduardo",Chaco
311,"CARRERAS, Porfirio Mario",Santa Fe
312,"CARRILLO, María Del Carmen",Tucumán
